fiscalDateEnding,Ticker,net_income_minus_taxes_over_net_income,pretax_non_operating_over_sales,sales_over_assets,income_to_equity,earnings_over_price,relative_price_evolution,net_income_to_common_over_net_income_smoothed,liabilities_over_equity,inventory_over_current_liabilities,working_capital_over_sales,dividend_per_share
2019-07-01,OPRT,0.6240283713570837,-1.2153666316470419e-05,0.06067135373811206,0.028429224766041022,,,0.0,3.7916607006205516,0.047235452414377224,-0.18246130966322402,42.51995610275032
2019-08-01,OPRT,0.5973254146277869,-8.002962207615933e-06,0.06066702618559042,0.021029691875791665,,,0.0,3.6417935839639872,0.19456919862625263,0.3743560055915289,47.57062800335788
2019-09-01,OPRT,0.5749530410309394,0.0,0.06190432954219631,0.021750162654521794,,,0.0,3.5382780307959227,0.5392853992277369,0.9969927298213784,49.64325405943475
2019-10-01,OPRT,0.577833905673548,2.7096191104060366e-06,0.06455210891659717,0.032714476910961146,0.6929516406726063,0.0,0.0,3.5056555826476714,0.7063986120903406,1.2875716062708589,46.237365749454156
2019-11-01,OPRT,0.6047462236178061,1.7255660509579406e-06,0.06690566535339794,0.045276840989275896,0.7309170346224838,0.314516129032258,0.0,3.5077342696047054,0.6679011674037456,1.116544803422445,40.1826763110699
2019-12-01,OPRT,0.6355700237353145,0.0,0.06661325761601254,0.047390775954137564,0.6823323000573301,0.4764267990074442,0.0,3.504965566344631,0.6918934540579074,0.6908551704234237,35.84919053974826
2020-01-01,OPRT,0.6526529053334312,-7.465112482184904e-07,0.06204230874393096,0.031069890747856224,0.5142103187370575,0.3052109181141438,0.0,3.469497213761773,0.885480337595611,0.3740736661518045,35.61042610315616
2020-02-01,OPRT,0.6836845800768611,-5.600270362678721e-07,0.05428310802042074,0.002285239935745142,0.03861256680025045,0.30459057071960305,0.0,3.4176040603883715,1.2656105258652386,0.3717926271772681,37.634943418130185
2020-03-01,OPRT,0.6979570389189871,0.0,0.04579369952297738,-0.027504135649296938,-0.9333512689376615,-0.34553349875930517,0.25,3.378205128205128,1.6188642242451932,0.6687387098679111,38.5864087329863
2020-04-01,OPRT,0.7341457621514357,3.560762144243354e-07,0.037323736279584914,-0.05461625765865582,-2.5731878086573947,-0.5359801488833746,0.5,3.363332074857967,1.4927865045384996,1.0990435568208774,36.272104758595326
2020-05-01,OPRT,,2.9293212491430684e-07,0.031733086425558055,-0.07179246825983583,-2.5482522006945,-0.40136476426799006,0.75,3.3609959318925235,1.116433136339454,1.4275589012425145,32.71910178695911
2020-06-01,OPRT,,0.0,0.031005934300336976,-0.07538099891709146,-1.8713894314563113,-0.16625310173697283,1.0,3.3462093799248125,0.7908406778086704,1.4296459893551896,30.767373321151233
2020-07-01,OPRT,,-1.0302424076755604e-07,0.03667823163298631,-0.06230377589863445,-1.4391330500577053,-0.11290322580645162,1.0,3.3039563452714154,0.5656219721231652,1.0481604467784813,32.26572408227274
2020-08-01,OPRT,,-5.638295286278647e-08,0.04644312170592808,-0.03833409878045016,-1.008651830380833,-0.22146401985111663,1.0,3.254410513404325,0.3840636590935408,0.4507014050364982,34.42981458040126
2020-09-01,OPRT,,0.0,0.05587103779198476,-0.013345959679573353,-0.37350513733434115,-0.2686104218362284,1.0,3.2327463848254276,0.22992638551854938,-0.10953531248959354,33.05996767858282
2020-10-01,OPRT,-0.13344074555508267,1.639668530187263e-08,0.0612445183548203,0.004359350428331988,0.10721509394236427,-0.17493796526054595,0.75,3.257059352811816,0.095786201914425,-0.4994877152058783,25.985338883032345
2020-11-01,OPRT,0.05700020623650261,1.0424587040801478e-08,0.06340514773776247,0.014892530344078338,0.28429122743116275,0.04900744416873448,0.5,3.2962238076830204,0.0,-0.7218618582982428,16.360565064455443
2020-12-01,OPRT,0.13052529509310049,0.0,0.0637664250434658,0.018243654474227863,0.3007617813618423,0.2016129032258065,0.25,3.30546602432773,0.0,-0.7817297483705726,9.212536508918802
2021-01-01,OPRT,0.28705754613715184,-4.114317338743671e-09,0.06361415809817395,0.01582802182407444,0.31419638548387946,-0.006823821339950298,0.0,3.261450760506593,0.0,-0.6364295033638013,7.028547237518548
