timestamp,ticker,signal,return,success
2022-05-10,MSEX,BUY,-0.0009063101846606,0
2022-05-11,MSEX,BUY,0.0175660160734787,1
2022-05-12,MSEX,BUY,0.0188914027149319,1
2022-05-13,MSEX,BUY,0.0118743757629564,1
2022-05-16,MSEX,SELL,0.0156043956043956,1
2022-05-17,MSEX,BUY,-0.0084651370015594,0
2022-05-18,MSEX,BUY,-0.0043904086457278,0
2022-05-19,MSEX,BUY,0.0071250848224383,1
2022-05-20,MSEX,BUY,-0.0037933727546579,0
2022-05-23,MSEX,BUY,-0.0089305648582272,0
2022-05-24,MSEX,BUY,0.0022537750732477,1
2022-05-25,MSEX,BUY,-0.0164247946900663,0
2022-05-26,MSEX,BUY,-0.0419747469002388,0
2022-05-27,MSEX,BUY,0.0312648034107058,1
2022-05-31,MSEX,BUY,-0.0218566662832164,0
2022-06-01,MSEX,BUY,-0.0269337016574584,0
2022-06-02,MSEX,BUY,0.0282652219997645,1
2022-06-03,MSEX,BUY,-0.0097109562435735,0
2022-06-06,MSEX,BUY,0.0044951590594744,1
2022-06-07,MSEX,BUY,0.0066651344518501,1
2022-06-08,MSEX,SELL,0.0234025467477343,1
2022-06-09,MSEX,BUY,-0.0189367207715831,0
2022-06-10,MSEX,BUY,0.0131467856712097,1
2022-06-13,MSEX,BUY,-0.0403235542677774,0
2022-06-14,MSEX,BUY,-0.0169170559272817,0
2022-06-15,MSEX,BUY,0.0094207511139402,1
2022-06-16,MSEX,BUY,-0.0024216161101197,0
2022-06-17,MSEX,BUY,0.0237123916369199,1
2022-06-21,MSEX,BUY,0.0013603759584466,1
2022-06-22,MSEX,BUY,0.0151345986850266,1
2022-06-23,MSEX,BUY,0.0311583577712609,1
2022-06-24,MSEX,SELL,0.0338240251713674,1
2022-06-27,MSEX,BUY,-0.0003469411356539,0
2022-06-28,MSEX,BUY,-0.0050979029081218,0
2022-06-29,MSEX,BUY,0.0045327754532775,1
2022-06-30,MSEX,BUY,0.0178778732296262,1
2022-04-01,DFIN,BUY,0.0020895522388059,1
2022-04-04,DFIN,BUY,-0.0164670658682633,0
2022-04-05,DFIN,BUY,-0.0319732034104751,0
2022-04-06,DFIN,SELL,0.0203691915977084,1
2022-04-07,DFIN,BUY,0.000653167864141,1
2022-04-08,DFIN,SELL,0.0045602605863192,1
2022-04-11,DFIN,SELL,-0.0016388069485413,0
2022-04-12,DFIN,BUY,-0.0116129032258064,0
